date,weight_market,weight_bond
2024-11-27,0.6195886,0.38041136
2024-11-29,0.61958927,0.38041073
2024-12-02,0.61958885,0.38041115
2024-12-03,0.6195894,0.38041064
2024-12-04,0.61958975,0.38041025
2024-12-05,0.61958927,0.38041076
2024-12-06,0.61958987,0.38041013
2024-12-09,0.6195906,0.38040942
2024-12-10,0.61959136,0.3804086
2024-12-11,0.61959153,0.3804085
2024-12-12,0.6195903,0.38040975
2024-12-13,0.6195908,0.3804092
2024-12-16,0.61959094,0.38040912
2024-12-17,0.6195902,0.38040975
2024-12-18,0.6195911,0.38040894
